,season,season_elo,team_id
0,2014,1394.7493927224602,1101
1,2015,1278.2625202817505,1101
2,2016,1196.713023174637,1101
3,2017,1220.408517053156,1101
4,2018,1271.2147785247164,1101
5,1985,1424.4299840547171,1102
6,1986,1376.9108117841186,1102
7,1987,1371.8407769178912,1102
8,1988,1345.5614827930942,1102
9,1989,1354.744050258424,1102
10,1990,1370.4902736657446,1102
11,1991,1368.483901895565,1102
12,1992,1331.5995965328862,1102
13,1993,1339.3831827023084,1102
14,1994,1305.934794843678,1102
15,1995,1285.1583651382996,1102
16,1996,1312.563812780327,1102
17,1997,1278.8580780422812,1102
18,1998,1309.7003987370335,1102
19,1999,1355.485099593494,1102
20,2000,1341.7130280503445,1102
21,2001,1317.9435154326457,1102
22,2002,1366.3534500034125,1102
23,2003,1435.962411967507,1102
24,2004,1500.6557482994306,1102
25,2005,1676.6503263186771,1102
26,2006,1707.8517014667755,1102
27,2007,1850.8057363402047,1102
28,2008,1769.7169932007714,1102
29,2009,1661.136140593256,1102
30,2010,1481.319207301147,1102
31,2011,1477.025515604373,1102
32,2012,1551.3388345167996,1102
33,2013,1527.9168259205255,1102
34,2014,1541.2527951382501,1102
35,2015,1501.5564626793253,1102
36,2016,1540.995051892222,1102
37,2017,1456.3794976514312,1102
38,2018,1432.4640667270864,1102
39,1985,1464.23803751345,1103
40,1986,1451.0100919989482,1103
41,1987,1575.032141630481,1103
42,1988,1551.6374957790977,1103
43,1989,1631.0686012538674,1103
44,1990,1647.5190625849084,1103
45,1991,1562.3704878222345,1103
46,1992,1471.280423633606,1103
47,1993,1418.5852029728446,1103
48,1994,1383.0970298118004,1103
49,1995,1320.986790343663,1103
50,1996,1330.5327537903195,1103
51,1997,1246.8084138632184,1103
52,1998,1363.1787755044866,1103
53,1999,1558.3020275702902,1103
54,2000,1602.9890771335529,1103
55,2001,1553.173380956692,1103
56,2002,1477.5534512508495,1103
57,2003,1436.546322557612,1103
58,2004,1507.1140897289001,1103
59,2005,1512.7519029744353,1103
60,2006,1603.0023717581512,1103
61,2007,1690.6363981128072,1103
62,2008,1750.3083317604408,1103
63,2009,1689.090948183254,1103
64,2010,1673.6303149406306,1103
65,2011,1645.258102856625,1103
66,2012,1631.9262090164161,1103
67,2013,1673.9952102888349,1103
68,2014,1755.55768257672,1103
69,2015,1664.6889326491614,1103
70,2016,1662.9724430515148,1103
71,2017,1655.4393535782763,1103
72,2018,1495.7207437395111,1103
73,1985,1579.8626640847565,1104
74,1986,1686.292937083596,1104
75,1987,1759.190341147707,1104
76,1988,1792.0110518896436,1104
77,1989,1646.22005721681,1104
78,1990,1764.6850779173742,1104
79,1991,1774.699859141188,1104
80,1992,1821.8149930273464,1104
81,1993,1787.7856324011884,1104
82,1994,1680.4506126722558,1104
83,1995,1751.8485907619495,1104
84,1996,1779.0096306137316,1104
85,1997,1742.107228178422,1104
86,1998,1705.6415756238482,1104
87,1999,1672.1691293689205,1104
88,2000,1656.1042398688614,1104
89,2001,1696.0465087800972,1104
90,2002,1766.043637383944,1104
91,2003,1889.6414640017895,1104
92,2004,1829.8690842867718,1104
93,2005,1862.7590476756534,1104
94,2006,1883.9581689353024,1104
95,2007,1872.9788477571703,1104
96,2008,1774.6357705588055,1104
97,2009,1746.6737379379128,1104
98,2010,1766.4739147500434,1104
99,2011,1733.9436261146413,1104
100,2012,1853.2842564660455,1104
101,2013,1831.647605917048,1104
102,2014,1803.7088007064576,1104
103,2015,1762.0370556706305,1104
104,2016,1767.4714397919272,1104
105,2017,1746.8932244263206,1104
106,2018,1818.432723776504,1104
107,2000,1467.1343970508926,1105
108,2001,1404.111449110141,1105
109,2002,1373.3131894100884,1105
110,2003,1406.8727456619408,1105
111,2004,1229.5074017321886,1105
112,2005,1228.0580883673306,1105
113,2006,1281.8805226167094,1105
114,2007,1269.4839146757522,1105
115,2008,1153.3426481306344,1105
116,2009,1211.9368730574847,1105
117,2010,1131.4917652507006,1105
118,2011,1153.0866651983285,1105
119,2012,1134.111230284795,1105
120,2013,1108.328093275701,1105
121,2014,1076.4168902565666,1105
122,2015,1112.804604098227,1105
123,2016,1128.183368569844,1105
124,2017,1089.9382874271546,1105
125,2018,929.4792855354947,1105
126,1985,1459.339756459827,1106
127,1986,1408.84416117151,1106
128,1987,1420.6358128842746,1106
129,1988,1379.8449173919448,1106
130,1989,1319.8155569831904,1106
131,1990,1381.5855097644767,1106
132,1991,1366.382649196116,1106
133,1992,1390.0261956764718,1106
134,1993,1366.210268446739,1106
135,1994,1398.0173937164982,1106
136,1995,1406.5395131115476,1106
137,1996,1304.343227690646,1106
138,1997,1187.9595573346573,1106
139,1998,1176.7637399607354,1106
140,1999,1206.1690212588128,1106
141,2000,1220.5283227323966,1106
142,2001,1288.6723519175619,1106
143,2002,1415.131992483918,1106
144,2003,1363.0772723524794,1106
145,2004,1306.8828530817316,1106
146,2005,1343.0638822131552,1106
147,2006,1281.3050492073435,1106
148,2007,1222.1832015911698,1106
149,2008,1210.3008949855698,1106
150,2009,1316.6773269596201,1106
151,2010,1349.2870695139936,1106
152,2011,1294.5726408693595,1106
153,2012,1267.0736187122964,1106
154,2013,1185.5709594261727,1106
155,2014,1158.8023417203542,1106
156,2015,1214.2967201001986,1106
157,2016,1216.2096273659918,1106
158,2017,1200.7913660648426,1106
159,2018,1076.0949537987974,1106
160,2000,1428.6399604821945,1107
161,2001,1303.42387063543,1107
162,2002,1169.787168134512,1107
163,2003,1142.6534282746322,1107
164,2004,1101.8415570864638,1107
165,2005,1175.0843720170524,1107
166,2006,1259.5064836821946,1107
167,2007,1404.2723908624384,1107
168,2008,1465.1451924446592,1107
169,2009,1457.1008165811056,1107
170,2010,1335.67914653587,1107
171,2011,1299.5737557825905,1107
172,2012,1358.284746082921,1107
173,2013,1433.3027974721838,1107
174,2014,1440.7959551341626,1107
175,2015,1400.3507965686292,1107
176,2016,1535.9834643943286,1107
177,2017,1532.301929320617,1107
178,2018,1503.2846299235666,1107
179,1985,1510.3006394448087,1108
180,1986,1494.030207509369,1108
181,1987,1427.0096643031595,1108
182,1988,1322.4226523920593,1108
183,1989,1276.9168988602025,1108
184,1990,1220.2373637704034,1108
185,1991,1239.457868870648,1108
186,1992,1274.9357880375094,1108
187,1993,1279.5125946762464,1108
188,1994,1216.975941790161,1108
189,1995,1164.0487893682432,1108
190,1996,1184.7655844692738,1108
191,1997,1210.1877318824554,1108
192,1998,1247.7380956169318,1108
193,1999,1307.0881908094086,1108
194,2000,1427.6629507417636,1108
195,2001,1415.707042727071,1108
196,2002,1372.4960802954374,1108
197,2003,1397.331338142907,1108
198,2004,1260.7286073269279,1108
199,2005,1198.3835164836944,1108
200,2006,1105.9627671145947,1108
201,2007,1087.9069716941947,1108
202,2008,1085.2680067170174,1108
203,2009,1059.028069629854,1108
204,2010,1005.4647049123614,1108
205,2011,928.2274520853523,1108
206,2012,924.965158553264,1108
207,2013,1014.7434007877603,1108
208,2014,1029.2128122560905,1108
209,2015,1050.6114915185854,1108
210,2016,1000.5697317986197,1108
211,2017,1104.4655998405997,1108
212,2018,1116.6150562492799,1108
213,1985,1384.0984116485502,1109
214,1986,1263.6558098739467,1109
215,1987,1225.9675853486733,1109
216,1988,1209.9765389097365,1109
217,1989,1260.980599002917,1109
218,1990,1254.770767773603,1109
219,1991,1165.3991554560473,1109
220,1985,1435.2910355304086,1110
221,1986,1383.540867054605,1110
222,1987,1366.311102961712,1110
223,1988,1347.0990687043045,1110
224,1989,1433.0112955617844,1110
225,1990,1493.0426066306195,1110
226,1991,1480.4409708421736,1110
227,1992,1446.7418294365964,1110
228,1993,1457.0956030790783,1110
229,1994,1420.490733837507,1110
230,1995,1348.4643732007319,1110
231,1996,1365.3013437901882,1110
232,1997,1368.138412907324,1110
233,1998,1378.4711890847257,1110
234,1999,1340.5519241642571,1110
235,2000,1330.3584736431535,1110
236,2001,1355.0296797697536,1110
237,2002,1324.6161245427795,1110
238,2003,1378.2800068429965,1110
239,2004,1404.3958757312832,1110
240,2005,1458.0477191465313,1110
241,2006,1355.9053458279154,1110
242,2007,1391.7417464909304,1110
243,2008,1357.697329922457,1110
244,2009,1434.2111731393095,1110
245,2010,1424.3269404143766,1110
246,2011,1387.0984145135214,1110
247,2012,1440.0486715911436,1110
248,2013,1421.6401493416522,1110
249,2014,1309.4867479385132,1110
250,2015,1469.6615516911813,1110
251,2016,1368.652297933093,1110
252,2017,1283.6923861376629,1110
253,2018,1200.0803639824198,1110
254,1985,1465.0160064986233,1111
255,1986,1439.9839509857309,1111
256,1987,1362.7952368864544,1111
257,1988,1356.1140499463083,1111
258,1989,1453.2146616180728,1111
259,1990,1514.0726861672988,1111
260,1991,1516.6494418881507,1111
261,1992,1461.3137161489194,1111
262,1993,1487.3364780417692,1111
263,1994,1442.7875988530413,1111
264,1995,1418.5638392949315,1111
265,1996,1351.9238742783998,1111
266,1997,1309.8779701322576,1111
267,1998,1423.8132878692904,1111
268,1999,1483.3989348408609,1111
269,2000,1530.6422485185653,1111
270,2001,1535.892890234148,1111
271,2002,1377.9954567732987,1111
272,2003,1441.3105721246213,1111
273,2004,1421.7844728657788,1111
274,2005,1355.127683341584,1111
275,2006,1433.3074060834228,1111
276,2007,1441.8507729260557,1111
277,2008,1569.0219489404694,1111
278,2009,1510.0995580268384,1111
279,2010,1445.3204724534494,1111
280,2011,1527.6583965707132,1111
281,2012,1428.6690723102715,1111
282,2013,1341.3330367331928,1111
283,2014,1358.4087365411983,1111
284,2015,1241.8002477922541,1111
285,2016,1253.7769545018475,1111
286,2017,1287.8636700623802,1111
287,2018,1365.6089350651205,1111
288,1985,1550.8448633403652,1112
289,1986,1622.7761236408921,1112
290,1987,1689.8380205162975,1112
291,1988,1768.4980909526732,1112
292,1989,1897.189819232927,1112
293,1990,1929.763190971241,1112
294,1991,1982.2606133582626,1112
295,1992,1949.537521415028,1112
296,1993,1934.8739925535244,1112
297,1994,2009.2519068259287,1112
298,1995,2004.2160248392686,1112
299,1996,2010.8733463209905,1112
300,1997,1962.344392030076,1112
301,1998,1962.7806876773043,1112
302,1999,2043.3513781844424,1112
303,2000,2018.393592941032,1112
304,2001,1975.430927575633,1112
305,2002,2027.4636650109078,1112
306,2003,2006.2276243668848,1112
307,2004,2064.488270554836,1112
308,2005,1967.9957870437968,1112
309,2006,1970.3003330743568,1112
310,2007,1932.659733333344,1112
311,2008,1907.7422209590145,1112
312,2009,1857.9264849082226,1112
313,2010,1819.5889107166283,1112
314,2011,1825.6913733625256,1112
315,2012,1863.7143075237545,1112
316,2013,1920.2980646769668,1112
317,2014,1931.591751876017,1112
318,2015,2015.4894446651565,1112
319,2016,2085.4976889743543,1112
320,2017,2029.417333207891,1112
321,2018,2035.0965861942614,1112
322,1985,1491.5125229987132,1113
323,1986,1436.0811579794665,1113
324,1987,1452.7411674302282,1113
325,1988,1508.5212240308026,1113
326,1989,1522.4696433746633,1113
327,1990,1476.066713427217,1113
328,1991,1576.9234337246537,1113
329,1992,1636.0913700333701,1113
330,1993,1657.1319116692569,1113
331,1994,1695.8825655836158,1113
332,1995,1735.319904569391,1113
333,1996,1711.3584837051737,1113
334,1997,1667.600834200608,1113
335,1998,1581.1264615868563,1113
336,1999,1609.0900212246627,1113
337,2000,1635.4435623950778,1113
338,2001,1749.9486354923315,1113
339,2002,1700.9001463490963,1113
340,2003,1709.110820190437,1113
341,2004,1800.0873276409961,1113
342,2005,1745.1301996217371,1113
343,2006,1708.6371660916416,1113
344,2007,1630.0179361823987,1113
345,2008,1623.3340688058286,1113
346,2009,1770.881518184766,1113
347,2010,1874.1964734077187,1113
348,2011,1815.639191284568,1113
349,2012,1672.5928368756445,1113
350,2013,1626.8659062311294,1113
351,2014,1707.5456574010618,1113
352,2015,1763.228466791209,1113
353,2016,1766.6167109175653,1113
354,2017,1715.0117700333735,1113
355,2018,1777.1853310334614,1113
356,1985,1465.817107704329,1114
357,1986,1502.463367620625,1114
358,1987,1583.2759932196284,1114
359,1988,1616.2402589677697,1114
360,1989,1656.6321545260723,1114
361,1990,1692.6084184507647,1114
362,1991,1596.2151291230762,1114
363,1992,1458.2611476640714,1114
364,1993,1487.0148270178354,1114
365,1994,1511.0842046969753,1114
366,1995,1521.5753303967301,1114
367,1996,1584.9778989594993,1114
368,1997,1646.4439181587086,1114
369,1998,1585.0874069391487,1114
370,1999,1542.6524029013428,1114
371,2000,1406.965353960771,1114
372,2001,1362.548656644525,1114
373,2002,1489.590608800775,1114
374,2003,1520.131964045,1114
375,2004,1497.5705871089935,1114
376,2005,1555.9492261589246,1114
377,2006,1541.6218174379403,1114
378,2007,1440.5529901081861,1114
379,2008,1476.0201336893215,1114
380,2009,1490.1873905236816,1114
381,2010,1511.8337348596458,1114
382,2011,1411.2308220804043,1114
383,2012,1410.6023374777942,1114
384,2013,1479.7413134778014,1114
385,2014,1427.5549989567255,1114
386,2015,1409.8118641573624,1114
387,2016,1500.5132060464514,1114
388,2017,1602.2894504203257,1114
389,2018,1309.7604374149807,1114
390,1999,1363.2738637238112,1115
391,2000,1181.778455193019,1115
392,2001,1133.4070660507398,1115
393,2002,1041.3384491286342,1115
394,2003,989.7186218624228,1115
395,2004,984.0392432530687,1115
396,2005,927.751223708707,1115
397,2006,996.160457264802,1115
398,2007,1116.5725758679432,1115
399,2008,1216.6985747042759,1115
400,2009,1191.3202632587552,1115
401,2010,1201.56035385798,1115
402,2011,1263.0700912746158,1115
403,2012,1144.1835065673622,1115
404,2013,1132.2735566220626,1115
405,2014,1192.3093021124353,1115
406,2015,1153.5089773392924,1115
407,2016,1149.4048960714779,1115
408,2017,1068.4092926432186,1115
409,2018,1105.973738231006,1115
410,1985,1566.288343464267,1116
411,1986,1624.0707000315854,1116
412,1987,1582.4067396362875,1116
413,1988,1647.764188435596,1116
414,1989,1723.7783174914664,1116
415,1990,1802.489395906765,1116
416,1991,1911.3600608370825,1116
417,1992,1930.951645831703,1116
418,1993,1963.6684122041493,1116
419,1994,1922.9486281807433,1116
420,1995,1964.1145644047886,1116
421,1996,1879.2811609943094,1116
422,1997,1818.7779903213066,1116
423,1998,1814.6595504252746,1116
424,1999,1799.4839567936808,1116
425,2000,1820.8679947956284,1116
426,2001,1807.9147400706945,1116
427,2002,1822.269781770355,1116
428,2003,1732.8072581134045,1116
429,2004,1673.3950847946412,1116
430,2005,1716.5306778768545,1116
431,2006,1728.6367647763889,1116
432,2007,1815.148781578833,1116
433,2008,1853.2686493328185,1116
434,2009,1841.2608509502993,1116
435,2010,1664.8014406757682,1116
436,2011,1707.8335094657511,1116
437,2012,1680.807995113081,1116
438,2013,1648.8108192599652,1116
439,2014,1759.5691999168162,1116
440,2015,1796.1252130695627,1116
441,2016,1824.7563280487177,1116
442,2017,1787.0360368805896,1116
443,2018,1845.3374454402185,1116
444,1985,1453.370591235367,1117
445,1986,1498.3329366544806,1117
446,1987,1529.8159756735386,1117
447,1988,1578.199700987893,1117
448,1989,1615.6705068367319,1117
449,1990,1661.4383221247092,1117
450,1991,1578.4308936367474,1117
