,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WMargin,WSeasonElo,LSeasonElo,SeasonEloDiff
0,2003,134,1421,92,1411,84,8,1400.639843,1433.389162,-32.74931832
1,2003,136,1112,80,1436,51,29,1678.243137,1465.426904,212.8162328
2,2003,136,1113,84,1272,71,13,1566.094619,1601.134132,-35.03951331
3,2003,136,1141,79,1166,73,6,1581.421598,1771.759782,-190.3381839
4,2003,136,1143,76,1301,74,2,1573.362799,1627.209003,-53.84620394
5,2003,136,1163,58,1140,53,5,1666.298175,1683.09109,-16.79291546
6,2003,136,1181,67,1161,57,10,1694.158183,1593.06622,101.0919628
7,2003,136,1211,74,1153,69,5,1590.470832,1713.709815,-123.2389834
8,2003,136,1228,65,1443,60,5,1725.685552,1529.339064,196.346488
9,2003,136,1242,64,1429,61,3,1631.274142,1607.988842,23.2852996
10,2003,136,1266,72,1221,68,4,1639.970964,1586.605863,53.36510129
11,2003,136,1281,72,1356,71,1,1669.201478,1566.40059,102.8008877
12,2003,136,1323,70,1454,69,1,1718.223887,1636.12886,82.09502656
13,2003,136,1328,71,1354,54,17,1602.075584,1444.666465,157.4091194
14,2003,136,1390,77,1360,69,8,1513.667,1544.771186,-31.10418638
15,2003,136,1409,84,1173,71,13,1610.729088,1604.169749,6.559338425
16,2003,136,1458,81,1451,74,7,1611.460264,1575.368383,36.09188113
17,2003,137,1120,65,1386,63,2,1524.819144,1669.366153,-144.5470095
18,2003,137,1139,47,1280,46,1,1740.756763,1685.039041,55.71772241
19,2003,137,1196,85,1358,55,30,1674.146822,1544.380493,129.7663289
20,2003,137,1231,67,1104,62,5,1664.351066,1651.745663,12.60540242
21,2003,137,1246,95,1237,64,31,1647.209792,1450.268049,196.9417428
22,2003,137,1257,86,1122,64,22,1723.11526,1477.00775,246.1075104
23,2003,137,1268,75,1423,73,2,1698.582042,1620.234106,78.34793607
24,2003,137,1277,79,1160,64,15,1654.980038,1603.238427,51.74161079
25,2003,137,1329,77,1335,63,14,1630.465954,1536.598609,93.86734474
26,2003,137,1338,87,1447,61,26,1714.282379,1520.229862,194.0525166
27,2003,137,1345,80,1261,56,24,1656.851286,1655.120209,1.731076787
28,2003,137,1393,76,1264,65,11,1674.843189,1588.594728,86.24846086
29,2003,137,1400,82,1421,61,21,1692.402098,1400.639843,291.7622543
30,2003,137,1428,60,1332,58,2,1567.799165,1621.528492,-53.72932698
31,2003,137,1448,76,1190,73,3,1685.182074,1506.574365,178.6077089
32,2003,137,1462,71,1407,59,12,1633.473624,1619.556792,13.91683169
33,2003,138,1112,96,1211,95,1,1678.243137,1590.470832,87.77230517
34,2003,138,1163,85,1390,74,11,1666.298175,1513.667,152.6311751
35,2003,138,1181,86,1141,60,26,1694.158183,1581.421598,112.7365854
36,2003,138,1242,108,1113,76,32,1631.274142,1566.094619,65.1795233
37,2003,138,1266,101,1281,92,9,1639.970964,1669.201478,-29.23051373
38,2003,138,1323,68,1228,60,8,1718.223887,1725.685552,-7.461664609
39,2003,138,1328,74,1143,65,9,1602.075584,1573.362799,28.71278538
40,2003,138,1458,61,1409,60,1,1611.460264,1610.729088,0.731176558
41,2003,139,1120,68,1448,62,6,1524.819144,1685.182074,-160.3629301
42,2003,139,1139,79,1257,71,8,1740.756763,1723.11526,17.64150331
43,2003,139,1246,74,1428,54,20,1647.209792,1567.799165,79.41062761
44,2003,139,1268,77,1462,64,13,1698.582042,1633.473624,65.10841785
45,2003,139,1277,68,1196,46,22,1654.980038,1674.146822,-19.16678409
46,2003,139,1338,74,1231,52,22,1714.282379,1664.351066,49.93131286
47,2003,139,1393,68,1329,56,12,1674.843189,1630.465954,44.37723481
48,2003,139,1400,77,1345,67,10,1692.402098,1656.851286,35.55081162
49,2003,143,1112,88,1323,71,17,1678.243137,1718.223887,-39.98075025
50,2003,143,1242,69,1181,65,4,1631.274142,1694.158183,-62.88404122
51,2003,143,1246,63,1458,57,6,1647.209792,1611.460264,35.74952778
52,2003,143,1266,77,1338,74,3,1639.970964,1714.282379,-74.31141427
53,2003,144,1277,60,1268,58,2,1654.980038,1698.582042,-43.60200385
54,2003,144,1328,65,1139,54,11,1602.075584,1740.756763,-138.6811792
55,2003,144,1393,79,1120,78,1,1674.843189,1524.819144,150.0240448
56,2003,144,1400,82,1163,78,4,1692.402098,1666.298175,26.10392267
57,2003,145,1242,78,1112,75,3,1631.274142,1678.243137,-46.9689947
58,2003,145,1266,83,1246,69,14,1639.970964,1647.209792,-7.238827941
59,2003,146,1393,63,1328,47,16,1674.843189,1602.075584,72.76760467
60,2003,146,1400,85,1277,76,9,1692.402098,1654.980038,37.42205988
61,2003,152,1242,94,1266,61,33,1631.274142,1639.970964,-8.696822316
62,2003,152,1393,95,1400,84,11,1674.843189,1692.402098,-17.55890907
63,2003,154,1393,81,1242,78,3,1674.843189,1631.274142,43.56904668
64,2004,134,1197,72,1250,57,15,1362.140308,1397.546614,-35.40630653
65,2004,136,1104,65,1356,64,1,1638.15906,1797.89153,-159.7324695
66,2004,136,1163,70,1436,53,17,1833.694814,1550.093481,283.601333
67,2004,136,1177,76,1173,69,7,1560.767929,1896.122877,-335.3549471
68,2004,136,1181,96,1106,61,35,1890.042793,1337.814247,552.2285451
69,2004,136,1211,76,1434,49,27,1851.320629,1502.310233,349.0103969
70,2004,136,1264,75,1196,60,15,1782.87797,1881.223057,-98.34508697
71,2004,136,1268,86,1431,83,3,1729.690657,1516.087416,213.6032412
72,2004,136,1305,72,1277,66,6,1696.73185,1684.732743,11.99910685
73,2004,136,1314,63,1102,52,11,1742.224308,1686.844034,55.38027441
74,2004,136,1371,80,1112,76,4,1795.797682,1926.533726,-130.7360434
75,2004,136,1386,82,1251,63,19,1963.733459,1387.263611,576.4698483
76,2004,136,1390,71,1427,45,26,1950.692711,1281.132154,669.5605564
77,2004,136,1393,80,1140,75,5,1774.059454,1783.494217,-9.434762995
78,2004,136,1400,66,1343,49,17,1783.796719,1642.796831,140.9998877
79,2004,136,1403,76,1150,73,3,1709.180124,1710.821246,-1.641122756
80,2004,136,1448,79,1433,78,1,1888.785699,1622.916725,265.8689741
81,2004,137,1130,58,1428,51,7,1728.982898,1813.178196,-84.19529821
82,2004,137,1153,80,1190,77,3,1856.421286,1683.984388,172.4368985
83,2004,137,1210,65,1320,60,5,1859.133339,1469.444013,389.6893252
84,2004,137,1228,72,1293,53,19,1753.401093,1711.312016,42.08907696
85,2004,137,1242,78,1227,53,25,1837.081028,1645.252121,191.8289071
86,2004,137,1246,96,1197,76,20,1901.740076,1362.140308,539.5997679
87,2004,137,1272,59,1376,43,16,1795.783188,1686.270791,109.5123967
88,2004,137,1280,85,1284,52,33,1913.181928,1581.443249,331.7386788
89,2004,137,1301,61,1418,52,9,1691.673475,1650.569448,41.10402689
90,2004,137,1329,75,1186,56,19,1820.285345,1453.473515,366.8118305
91,2004,137,1334,66,1344,58,8,1443.857106,1789.744188,-345.8870817
92,2004,137,1338,53,1416,44,9,1975.993457,1701.494009,274.4994481
93,2004,137,1412,102,1449,100,2,1677.319109,1472.976563,204.3425464
94,2004,137,1435,71,1444,58,13,1697.491402,1724.321086,-26.82968373
95,2004,137,1458,76,1350,64,12,1852.473697,1634.858384,217.6153123
96,2004,137,1462,80,1257,70,10,1775.054459,1979.291215,-204.2367568
97,2004,138,1104,70,1390,67,3,1638.15906,1950.692711,-312.5336503
98,2004,138,1163,72,1177,55,17,1833.694814,1560.767929,272.9268843
99,2004,138,1181,90,1371,62,28,1890.042793,1795.797682,94.24511029
100,2004,138,1305,91,1211,72,19,1696.73185,1851.320629,-154.5887796
101,2004,138,1386,70,1403,65,5,1963.733459,1709.180124,254.5533353
102,2004,138,1393,72,1268,70,2,1774.059454,1729.690657,44.36879734
103,2004,138,1400,78,1314,75,3,1783.796719,1742.224308,41.57241016
104,2004,138,1448,84,1264,80,4,1888.785699,1782.87797,105.9077293
105,2004,139,1210,57,1130,54,3,1859.133339,1728.982898,130.1504406
106,2004,139,1228,92,1153,68,24,1753.401093,1856.421286,-103.0201938
107,2004,139,1242,78,1334,63,15,1837.081028,1443.857106,393.2239225
108,2004,139,1329,70,1272,53,17,1820.285345,1795.783188,24.50215725
109,2004,139,1338,59,1458,55,4,1975.993457,1852.473697,123.5197607
110,2004,139,1412,76,1246,75,1,1677.319109,1901.740076,-224.4209665
111,2004,139,1435,75,1301,73,2,1697.491402,1691.673475,5.81792746
112,2004,139,1462,89,1280,74,15,1775.054459,1913.181928,-138.1274693
113,2004,143,1104,80,1393,71,9,1638.15906,1774.059454,-135.9003939
114,2004,143,1163,73,1435,53,20,1833.694814,1697.491402,136.2034116
115,2004,143,1329,63,1338,51,12,1820.285345,1975.993457,-155.708112
116,2004,143,1386,84,1448,80,4,1963.733459,1888.785699,74.94775946
117,2004,144,1181,72,1228,62,10,1890.042793,1753.401093,136.6416999
118,2004,144,1210,72,1305,67,5,1859.133339,1696.73185,162.4014887
119,2004,144,1242,100,1412,74,26,1837.081028,1677.319109,159.7619193
120,2004,144,1462,79,1400,71,8,1775.054459,1783.796719,-8.742260017
121,2004,145,1163,87,1104,71,16,1833.694814,1638.15906,195.5357533
122,2004,145,1329,64,1386,62,2,1820.285345,1963.733459,-143.4481137
123,2004,146,1181,66,1462,63,3,1890.042793,1775.054459,114.988334
124,2004,146,1210,79,1242,71,8,1859.133339,1837.081028,22.05231021
125,2004,152,1163,79,1181,78,1,1833.694814,1890.042793,-56.34797888
126,2004,152,1210,67,1329,65,2,1859.133339,1820.285345,38.84799346
127,2004,154,1163,82,1210,73,9,1833.694814,1859.133339,-25.43852492
128,2005,134,1324,79,1105,69,10,1350.209232,1311.854171,38.35506048
129,2005,136,1112,66,1429,53,13,1875.664974,1773.256479,102.4084948
130,2005,136,1130,85,1335,65,20,1931.277527,1688.520673,242.7568539
131,2005,136,1153,76,1234,64,12,1979.848724,1720.57671,259.2720138
132,2005,136,1211,74,1457,64,10,2013.590667,1662.274015,351.316652
133,2005,136,1228,67,1192,55,12,1997.931562,1468.324605,529.6069575
134,2005,136,1246,72,1184,64,8,2016.967739,1535.977487,480.9902527
135,2005,136,1305,61,1400,57,4,1781.190364,1901.421527,-120.2311623
136,2005,136,1328,84,1310,67,17,1794.339292,1615.430209,178.9090829
137,2005,136,1334,79,1338,71,8,1807.634436,1970.596374,-162.9619384
138,2005,136,1403,78,1417,66,12,1756.511611,1508.300467,248.2111449
139,2005,136,1412,82,1261,68,14,1805.288693,1588.222016,217.0666775
140,2005,136,1428,60,1431,54,6,1762.302996,1796.664968,-34.36197204
141,2005,136,1448,70,1151,54,16,1896.626711,1646.399717,250.2269937
142,2005,136,1449,88,1285,77,11,1916.216308,1386.689899,529.5264095
143,2005,136,1452,63,1166,61,2,1708.559647,1724.059684,-15.50003743
144,2005,136,1454,83,1104,73,10,1783.714747,1842.278913,-58.56416621
145,2005,137,1137,64,1242,63,1,1633.270999,1986.971106,-353.7001068
146,2005,137,1163,77,1416,71,6,1909.671323,1571.982917,337.6884059
147,2005,137,1181,57,1175,46,11,1995.361724,1384.309564,611.0521608
148,2005,137,1196,67,1325,62,5,1777.029396,1454.987254,322.0421423
149,2005,137,1210,80,1203,68,12,1913.345324,1838.505296,74.84002854
150,2005,137,1235,64,1278,53,11,1644.164994,1592.453088,51.71190632
151,2005,137,1257,68,1418,62,6,1873.406304,1680.925215,192.4810887
152,2005,137,1277,89,1330,81,8,1834.432443,1686.332959,148.0994842
153,2005,137,1280,93,1390,70,23,1942.979334,1689.746487,253.2328477
154,2005,137,1301,75,1150,63,12,1799.663452,1796.817562,2.845889753
155,2005,137,1314,96,1324,68,28,1944.290032,1350.209232,594.0807999
156,2005,137,1329,63,1368,50,13,2075.942768,1488.033753,587.909015
157,2005,137,1356,65,1388,56,9,1797.703431,1735.576268,62.12716359
158,2005,137,1436,60,1393,57,3,1660.829442,1920.683255,-259.8538129
159,2005,137,1437,55,1307,47,8,1696.450969,1663.020092,33.43087617
160,2005,137,1458,57,1320,52,5,1857.849468,1725.985574,131.8638939
161,2005,138,1112,85,1412,63,22,1875.664974,1805.288693,70.37628098
162,2005,138,1228,71,1305,59,12,1997.931562,1781.190364,216.741198
163,2005,138,1246,69,1153,60,9,2016.967739,1979.848724,37.11901556
164,2005,138,1403,71,1211,69,2,1756.511611,2013.590667,-257.0790553
165,2005,138,1428,67,1328,58,9,1762.302996,1794.339292,-32.03629608
166,2005,138,1449,97,1334,79,18,1916.216308,1807.634436,108.5818725
167,2005,138,1452,111,1448,105,6,1708.559647,1896.626711,-188.0670643
168,2005,138,1454,83,1130,75,8,1783.714747,1931.277527,-147.5627799
169,2005,139,1181,63,1280,55,8,1995.361724,1942.979334,52.38238991
170,2005,139,1257,76,1210,54,22,1873.406304,1913.345324,-39.93902061
171,2005,139,1277,72,1436,61,11,1834.432443,1660.829442,173.6030011
172,2005,139,1301,65,1163,62,3,1799.663452,1909.671323,-110.0078706
173,2005,139,1314,92,1235,65,27,1944.290032,1644.164994,300.125038
174,2005,139,1329,85,1356,77,8,2075.942768,1797.703431,278.2393368
175,2005,139,1437,76,1196,65,11,1696.450969,1777.029396,-80.5784277
176,2005,139,1458,71,1137,62,9,1857.849468,1633.270999,224.5784684
177,2005,143,1112,79,1329,78,1,1875.664974,2075.942768,-200.2777941
178,2005,143,1228,77,1454,63,14,1997.931562,1783.714747,214.2168153
179,2005,143,1257,93,1449,79,14,1873.406304,1916.216308,-42.81000468
180,2005,143,1452,65,1403,60,5,1708.559647,1756.511611,-47.9519646
181,2005,144,1246,62,1428,52,10,2016.967739,1762.302996,254.6647437
182,2005,144,1277,78,1181,68,10,1834.432443,1995.361724,-160.9292809
183,2005,144,1314,67,1437,66,1,1944.290032,1696.450969,247.8390633
184,2005,144,1458,65,1301,56,9,1857.849468,1799.663452,58.18601537
185,2005,145,1228,90,1112,89,1,1997.931562,1875.664974,122.2665883
186,2005,145,1257,93,1452,85,8,1873.406304,1708.559647,164.8466569
187,2005,146,1277,94,1246,88,6,1834.432443,2016.967739,-182.5352958
188,2005,146,1314,88,1458,82,6,1944.290032,1857.849468,86.44056435
189,2005,152,1228,72,1257,57,15,1997.931562,1873.406304,124.5252585
190,2005,152,1314,87,1277,71,16,1944.290032,1834.432443,109.8575884
191,2005,154,1314,75,1228,70,5,1944.290032,1997.931562,-53.64153041
192,2006,134,1284,71,1214,49,22,1402.489481,1294.254685,108.2347959
193,2006,136,1104,90,1266,85,5,1761.359715,1647.184664,114.175051
194,2006,136,1130,88,1334,76,12,1868.48167,1814.525163,53.95650705
195,2006,136,1181,70,1380,54,16,2071.392948,1324.931587,746.4613609
196,2006,136,1196,76,1375,50,26,2090.09765,1542.636655,547.4609948
197,2006,136,1203,88,1423,85,3,1867.711613,1666.725397,200.9862162
198,2006,136,1211,79,1462,75,4,1989.492928,1814.557306,174.9356219
199,2006,136,1228,78,1102,69,9,2183.803893,1705.546033,478.2578607
200,2006,136,1231,87,1361,83,4,1819.787843,1470.951703,348.8361406
201,2006,136,1261,80,1233,64,16,1877.19631,1704.906959,172.2893514
202,2006,136,1285,87,1305,79,8,1620.308403,1881.30813,-260.9997268
203,2006,136,1397,63,1457,61,2,1797.032377,1731.738003,65.29437397
204,2006,136,1401,66,1393,58,8,1752.952967,1944.897737,-191.9447698
205,2006,136,1417,78,1125,44,34,1827.211116,1484.4798,342.7313163
206,2006,136,1449,75,1429,61,14,1967.477401,1837.861066,129.6163347
207,2006,136,1454,82,1328,74,8,1793.727384,1915.378384,-121.6509997
208,2006,136,1455,86,1371,66,20,1758.649581,1586.925724,171.7238571
209,2006,137,1112,94,1458,75,19,1883.040083,1910.933381,-27.89329708
210,2006,137,1133,77,1242,73,4,1590.629634,1825.966028,-235.3363942
211,2006,137,1137,59,1116,55,4,1762.79829,1632.464181,130.3341092
212,2006,137,1163,72,1107,59,13,2061.902661,1415.700616,646.2020448
213,2006,137,1206,75,1277,65,10,1690.526107,1902.601064,-212.0749572
214,2006,137,1207,54,1320,49,5,1724.476822,1747.883835,-23.4070122
