track_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,year_released,genres_top,genres_all,duration
2,0.0435668989,0.7455658702,0.7014699916,0.0006967989999999999,0.3731433124,0.1245953419,100.26,0.6216612236,2009.0,Hip-Hop,[21],168.0
3,0.9516699648,0.6581786543,0.9245251615,0.9654270154,0.1154738842,0.032985219100000004,111.56200000000001,0.9635898919,2009.0,Hip-Hop,[21],237.0
5,0.1065495253,0.2609111726,0.6070668636,0.8350869898000001,0.2236762711,0.0305692764,196.96099999999998,0.1602670903,2009.0,Hip-Hop,[21],206.0
10,0.2355061866,0.4386716924,0.4877519875,0.7161218401,0.0703593076,0.047297772,120.79,0.6504516889999999,2008.0,Pop,[10],161.0
20,0.8421128878,0.2852932287,0.5646886968,0.9516243456,0.1104813781,0.0406105474,166.55200000000002,0.254299214,2009.0,UNKNOWN,"[17, 10, 76, 103]",311.0
26,0.9588732916,0.2746088553,0.9894824701,0.9193623081,0.5465156876,0.1853163118,84.17299999999999,0.0332076001,2009.0,UNKNOWN,"[17, 10, 76, 103]",181.0
30,0.9928656425,0.653847565,0.0441512437,0.3384042114,0.1127408309,0.8453119277,129.673,0.7881602727,2009.0,UNKNOWN,"[17, 10, 76, 103]",174.0
46,0.9857274225,0.4165116076,0.3633095777000001,0.7833436078,0.2084982689,0.0331775203,110.579,0.218290722,2009.0,UNKNOWN,"[17, 10, 76, 103]",104.0
48,0.9895332895,0.4301895798,0.2270358594,0.5246838508,0.1058152942,0.0344977278,96.845,0.2727912235,2009.0,UNKNOWN,"[17, 10, 76, 103]",205.0
134,0.0812276693,0.15728729060000002,0.8944750334,0.9051462774,0.2310347678,0.1365506852,112.08,0.0319849213,2009.0,Hip-Hop,[21],207.0
135,0.9892822451,0.1520056826,0.0912037369,0.7602147359,0.1384743068,0.037363613,64.902,0.0339170195,2009.0,Rock,"[58, 12, 45]",837.0
136,0.9190647625,0.1519254348,0.4555230087,0.92733472,0.3123942341,0.1012075046,106.119,0.0233182392,2009.0,Rock,"[58, 12, 45]",509.0
137,0.9752079987,0.1633196125,0.1213844649,0.8807955493,0.418239145,0.0385527346,84.37299999999999,0.0389560077,2006.0,Experimental,"[32, 1, 38]",1233.0
138,0.9401404664,0.3939089437,0.8626594563,0.8567118895999999,0.0928935499,0.3693006382,115.77,0.114784732,2006.0,Experimental,"[32, 1, 38]",1231.0
139,0.9000332633,0.1850737856,0.6095501857,0.9082684651,0.1987212014,0.0659387843,83.764,0.0657611299,2009.0,Folk,[17],296.0
140,0.0002133053,0.2523819684,0.2849708228,0.9396469807,0.08936758970000001,0.0746311671,88.70200000000001,0.0397661155,2007.0,Folk,[17],253.0
141,0.7497723234,0.16971738960000002,0.5699256056,0.9187238241,0.218856721,0.0885816531,112.445,0.0380650791,2009.0,Folk,[17],182.0
142,0.9044333319,0.3158219106,0.8560733947,0.9287626105,0.674746071,0.1017616683,96.381,0.061998303,2005.0,Folk,[17],470.0
144,0.9307385336,0.3325401874,0.9073357686,0.9382662233,0.08924286140000001,0.0536968736,150.023,0.0369486104,2009.0,Jazz,[4],82.0
145,0.9439130163,0.3331149531,0.3318425227,0.9133415531,0.1326675701,0.0341570994,79.74600000000001,0.0381706618,2009.0,Jazz,[4],326.0
146,0.9906386864,0.3996737363,0.4629096626,0.5488887196,0.35300252590000003,0.5554336019,67.181,0.2094295541,1995.0,Jazz,[4],354.0
147,0.9391715241,0.4878947251,0.3929718001,0.0362408995,0.620822932,0.6214270932,111.62700000000001,0.315653435,1995.0,Jazz,[4],232.0
148,0.5711893759000001,0.180967669,0.5359921208,0.7218828397,0.3544042925,0.0825971517,80.732,0.08271145690000001,2009.0,Experimental,"[1, 38]",138.0
149,0.9843549663,0.5711679232,0.3196275772,0.0306228908,0.5679143144,0.0502900785,107.23200000000001,0.7885014706999999,2009.0,Experimental,"[1, 38]",988.0
150,0.9837547159,0.6488544507,0.2731366209,0.25823319850000004,0.6651524457,0.0331168071,115.764,0.517181662,2009.0,Experimental,"[1, 38]",1182.0
151,0.9871975943,0.6949608328,0.3094194602,0.3403557615,0.1024913488,0.039797071,115.397,0.5542991915,2009.0,Rock,"[25, 12]",192.0
152,0.9788038662,0.6181047050999999,0.381706497,0.6095619297,0.1000769336,0.06782950900000001,114.829,0.6226990514,2009.0,Rock,"[25, 12]",193.0
153,0.9749275226,0.7365770025,0.5202467495,0.7029741789,0.6684353564,0.0838771655,122.537,0.9623011362,2005.0,Rock,"[26, 12]",405.0
154,0.973496023,0.5886285140999999,0.4131042642,0.940913916,0.1148251601,0.0671223801,103.84700000000001,0.5720303238000001,2005.0,Rock,"[26, 12]",319.0
155,0.863267302,0.34253737100000003,0.5422427821,0.8637431876,0.0924118596,0.0378702007,88.99700000000001,0.6326724118,2009.0,Rock,"[26, 12]",756.0
156,0.9862978037,0.415193851,0.6517224389999999,0.747206005,0.0949926467,0.0314548766,92.37200000000001,0.7809922695999999,2004.0,Experimental,"[38, 30]",122.0
157,0.9920546438,0.3218679638,0.4234023651,0.9530970931,0.0797299355,0.0371677027,126.486,0.26218352850000004,2004.0,Experimental,"[38, 30]",212.0
158,0.9932647914,0.3846007934,0.5444991642,0.9233467677,0.0971795681,0.0373866147,166.46,0.8234256937000001,2004.0,Experimental,"[38, 30]",473.0
159,0.9808843818,0.3134392298,0.3703450659000001,0.9206941882,0.08802138820000001,0.046286386,135.019,0.1874533971,2004.0,Experimental,"[38, 30]",221.0
160,0.8746857593999999,0.4915045203,0.3018185836,0.8360157207,0.1101687367,0.0307638772,156.583,0.6786789791,2004.0,Experimental,"[38, 30]",70.0
161,0.994909713,0.3184324725,0.7832594587999999,0.8697103635,0.0905030575,0.0578873304,152.004,0.930636472,2004.0,Experimental,"[38, 30]",147.0
162,0.9895154059,0.2856620446,0.34508160130000004,0.928601552,0.1047570465,0.0312830102,93.62100000000001,0.5372120185,2004.0,Experimental,"[38, 30]",270.0
163,0.9939988458,0.1517703512,0.9256435321,0.8586497420999999,0.1224964035,0.0679786043,185.196,0.5970784061,2004.0,Experimental,"[38, 30]",307.0
164,0.9932961084,0.29941758350000003,0.5774532605,0.9568204339,0.1256842981,0.03677119,104.875,0.5529250374,2004.0,Experimental,"[38, 30]",236.0
165,0.9729040782,0.4505568834000001,0.3854682954,0.893690361,0.0984116147,0.0357259694,130.166,0.1169142645,2004.0,Experimental,"[38, 30]",185.0
166,0.0677415901,0.6223136778,0.8395289172,0.8761498416,0.1115054025,0.0794768231,142.017,0.7597209803,2004.0,Experimental,"[38, 30]",392.0
167,0.0045131774,0.5434604657,0.539879231,0.678026895,0.1252563629,0.0504146381,105.913,0.1803845219,2004.0,Experimental,"[38, 30]",278.0
168,0.9954284179,0.3114615442,0.1438200274,0.9195401144,0.1202089823,0.0404929027,79.795,0.4733627871,2004.0,Experimental,"[38, 30]",60.0
