track_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,year_released,album,album_id,artist_id,artist,genres_top,genres_all_id,track,duration,genres_all
2,0.4166752327,0.6758939853,0.6344762684,0.010628068300000001,0.17764657120000002,0.1593100648,165.922,0.576660988,2009.0,AWOL - A Way Of Life,1,1,AWOL,Hip-Hop,[21],Food,168.0,['Hip-Hop']
3,0.3744077685,0.5286430621,0.8174611317,0.0018511032,0.10587994380000001,0.46181812759999996,126.957,0.2692402421,2009.0,AWOL - A Way Of Life,1,1,AWOL,Hip-Hop,[21],Electric Ave,237.0,['Hip-Hop']
5,0.0435668989,0.7455658702,0.7014699916,0.0006967989999999999,0.37314331240000004,0.12459534189999999,100.26,0.6216612236,2009.0,AWOL - A Way Of Life,1,1,AWOL,Hip-Hop,[21],This World,206.0,['Hip-Hop']
10,0.9516699648,0.6581786543,0.9245251615000001,0.9654270154000001,0.1154738842,0.032985219100000004,111.562,0.9635898919,2008.0,Constant Hitmaker,6,6,Kurt Vile,Pop,[10],Freeway,161.0,['Pop']
134,0.4522173071,0.5132380502,0.5604099311,0.0194426943,0.09656669400000001,0.5255193792,114.29,0.8940722715,2009.0,AWOL - A Way Of Life,1,1,AWOL,Hip-Hop,[21],Street Music,207.0,['Hip-Hop']
139,0.10654952529999999,0.2609111726,0.6070668636,0.8350869898000001,0.2236762711,0.0305692764,196.961,0.1602670903,2009.0,Every Man For Himself,60,54,Alec K. Redfearn & the Eyesores,Folk,[17],CandyAss,296.0,['Folk']
140,0.3763124975,0.7340790229,0.2656847734,0.6695811237,0.08599512220000001,0.0390682262,107.952,0.6099912728,2007.0,The Blind Spot,61,54,Alec K. Redfearn & the Eyesores,Folk,[17],Queen Of The Wires,253.0,['Folk']
141,0.9636568795999999,0.43593299799999996,0.0756321472,0.34549349090000003,0.1056858694,0.0266578493,33.477,0.1639499337,2009.0,Every Man For Himself,60,54,Alec K. Redfearn & the Eyesores,Folk,[17],Ohio,182.0,['Folk']
142,0.6628811246,0.37906547659999995,0.8238557795999999,0.9102661844,0.08870525509999999,0.0790903546,147.781,0.09286763220000001,2005.0,The Quiet Room,62,54,Alec K. Redfearn & the Eyesores,Folk,[17],Punjabi Watery Grave,470.0,['Folk']
144,0.9090114288,0.4436425913,0.6419971681000001,0.9240916995999999,0.26766945129999997,0.08965891320000001,128.537,0.7882507820999999,2009.0,Amoebiasis,64,56,Amoebic Ensemble,Jazz,[4],Wire Up,82.0,['Jazz']
145,0.2355061866,0.43867169240000004,0.4877519875,0.7161218401,0.0703593076,0.047297772,120.79,0.6504516889999999,2009.0,Amoebiasis,64,56,Amoebic Ensemble,Jazz,[4],Amoebiasis,326.0,['Jazz']
146,0.5320194932,0.4176809211,0.47642249810000004,0.4025004064,0.172104669,0.0353607215,135.468,0.6823971806,1995.0,Limbic Rage,65,56,Amoebic Ensemble,Jazz,[4],Gimme a Buck or I'll Touch You / Boilermaker,354.0,['Jazz']
147,0.7784099162,0.7066810633,0.8661160134999999,0.8067025984999999,0.1046498167,0.0650834651,120.218,0.9176129075,1995.0,Limbic Rage,65,56,Amoebic Ensemble,Jazz,[4],Repetitive Motion Sickness,232.0,['Jazz']
153,0.9883055495999999,0.2556609004,0.9797737929000001,0.9730057241,0.121342,0.051739762300000006,90.241,0.0340178672,2005.0,Arc and Sender,69,60,Arc and Sender,Rock,"[26, 12]",Hundred-Year Flood,405.0,"['Post-Rock', 'Rock']"
154,0.9701348868999999,0.35294613119999996,0.0238515619,0.9571128851999999,0.1132607212,0.0321767642,53.758,0.035631561,2005.0,Arc and Sender,69,60,Arc and Sender,Rock,"[26, 12]",Squares And Circles,319.0,"['Post-Rock', 'Rock']"
155,0.9816573443000001,0.1422492483,0.9121220855,0.9672939775,0.3635095155,0.0875269884,91.912,0.034325256400000004,2009.0,unreleased demo,70,60,Arc and Sender,Rock,"[26, 12]",Maps of the Stars Homes,756.0,"['Post-Rock', 'Rock']"
169,0.989141175,0.2259775281,0.7228348526999999,0.2630762793,0.0923705318,0.0534063523,94.322,0.0283472078,2008.0,Boss of Goth,72,62,Argumentix,Rock,"[25, 12]",Boss of Goth,144.0,"['Punk', 'Rock']"
170,0.8866597102,0.2985183025,0.7443325625,0.9209504901000001,0.13958701839999998,0.08878104140000001,97.88,0.0735475474,2007.0,Nightmarcher,73,62,Argumentix,Rock,"[25, 12]",Industry Standard Massacre,181.0,"['Punk', 'Rock']"
171,0.6982777611,0.28581564579999996,0.2134937338,0.9556913003,0.0870359278,0.0640938189,125.645,0.1505991359,2009.0,Victim of Your Life,74,62,Argumentix,Rock,"[25, 12]",Marching as Technitions,80.0,"['Punk', 'Rock']"
172,0.8155489042,0.14412507119999998,0.8927211866,0.9004301244,0.10470346679999999,0.1022936576,138.68,0.0349164186,2009.0,Heir to the Power Bear Fortune,75,62,Argumentix,Rock,"[25, 12]",I Can't Stand You Up-right,206.0,"['Punk', 'Rock']"
173,0.8421128878,0.2852932287,0.5646886968,0.9516243456,0.1104813781,0.0406105474,166.552,0.254299214,2008.0,Boss of Goth,72,62,Argumentix,Rock,"[25, 12]",Save Life's Golden Receipt In Case Refund Needed,218.0,"['Punk', 'Rock']"
174,0.3673926458,0.3396980706,0.8466394386,0.9091861794,0.19894398030000002,0.46260747259999996,70.887,0.0482427328,2008.0,Boss of Goth,72,62,Argumentix,Rock,"[25, 12]",Senator's Stance,199.0,"['Punk', 'Rock']"
175,0.9939276168000001,0.3100899771,0.9524931303,0.2743114791,0.3542305191,0.8257439070999999,69.413,0.0334023117,2007.0,Nightmarcher,73,62,Argumentix,Rock,"[25, 12]",Snapped Today,111.0,"['Punk', 'Rock']"
176,0.8335160134999999,0.2065092789,0.779140487,0.9408410856,0.3723113985,0.07722714480000001,123.583,0.028143815699999998,2009.0,Victim of Your Life,74,62,Argumentix,Rock,"[25, 12]",Step Up to Legends,160.0,"['Punk', 'Rock']"
177,0.7542752993,0.20911290649999997,0.5799592774,0.7368654346,0.1121648933,0.0733502023,95.932,0.0833302608,2008.0,Boss of Goth,72,62,Argumentix,Rock,"[25, 12]",Petty Hate Machine,129.0,"['Punk', 'Rock']"
178,0.9955533218000001,0.18614592989999998,0.4130542364,0.9551374475,0.11171627640000001,0.040892505,61.316,0.252819344,2009.0,"Tarantula Downpour 7""",76,62,Argumentix,Rock,"[25, 12]",Lend Me a Blanket,259.0,"['Punk', 'Rock']"
179,0.9588732916,0.2746088553,0.9894824701,0.9193623081,0.5465156876,0.1853163118,84.173,0.0332076001,2009.0,Dracula Safari,77,62,Argumentix,Rock,"[25, 12]",Ready to Die,90.0,"['Punk', 'Rock']"
189,0.9936702086,0.6225780356,0.216906878,0.9728700043,0.1109893491,0.0299235029,92.124,0.039641258,2009.0,What I Know,85,127,Ed Askew,Folk,[17],The Thought Of It,283.0,['Folk']
190,0.9906294901999999,0.5007534567,0.3712297429,0.10283844380000001,0.21881019420000003,0.0325288108,100.919,0.2512323052,2009.0,Blue Piano,84,127,Ed Askew,Folk,[17],Castle Of Stars,249.0,['Folk']
191,0.9824639154000001,0.28655729329999996,0.2383479416,0.9429368516,0.0974932193,0.029907909700000002,115.292,0.08613650839999999,2009.0,What I Know,85,127,Ed Askew,Folk,[17],Song About Michael,224.0,['Folk']
192,0.9928656425,0.653847565,0.0441512437,0.3384042114,0.1127408309,0.8453119277,129.673,0.7881602727,2009.0,What I Know,85,127,Ed Askew,Folk,[17],Ed Talk WNYC,40.0,['Folk']
193,0.9140388753,0.6406010435,0.1640712523,0.7605621934000001,0.25839903280000004,0.09921032119999999,49.831,0.19078971100000003,2009.0,Blue Piano,84,127,Ed Askew,Folk,[17],Here With You,254.0,['Folk']
194,0.9929059493000001,0.49473017659999996,0.2003375585,0.618086852,0.0864499383,0.0389377953,103.779,0.2532444151,2009.0,Blue Piano,84,127,Ed Askew,Folk,[17],All I want to Do,192.0,['Folk']
195,0.9894955507,0.49398945619999995,0.1845083868,0.9684166432,0.11659458710000001,0.0423415399,50.168,0.2670295163,2009.0,What I Know,85,127,Ed Askew,Folk,[17],I Remember You,339.0,['Folk']
196,0.9954594975,0.3700605051,0.1467337752,0.9728133564,0.1178278324,0.0357200319,107.346,0.1360601183,2009.0,What I Know,85,127,Ed Askew,Folk,[17],Bright Mr Brother,170.0,['Folk']
197,0.9835851840000001,0.6026565649,0.007043696899999999,0.7917134418,0.08002191269999999,0.4211134428,128.698,0.7700094570999999,2009.0,Blue Piano,84,127,Ed Askew,Folk,[17],Piano 2,68.0,['Folk']
198,0.9947583569,0.4444766366,0.25420245550000004,0.9073222684000001,0.1381990807,0.0326918427,107.605,0.1920340768,2009.0,Blue Piano,84,127,Ed Askew,Folk,[17],It Breaks My Heart,269.0,['Folk']
199,0.8370462240000001,0.6526869632,0.2081522129,0.9139808956000001,0.09810690789999998,0.0445847109,86.536,0.3477647197,2009.0,What I Know,85,127,Ed Askew,Folk,[17],Rimbaud,263.0,['Folk']
200,0.9601916036,0.21592592859999998,0.29512645579999996,0.8029777144,0.17007612079999998,0.037825105299999995,200.391,0.3677399293,2009.0,Blue Piano,84,127,Ed Askew,Folk,[17],Baby Come Home,194.0,['Folk']
201,0.9918128928,0.461854871,0.5437512413000001,0.964922262,0.13700643199999998,0.025687709700000002,93.945,0.7586315481999999,2009.0,What I Know,85,127,Ed Askew,Folk,[17],Big City,210.0,['Folk']
202,0.9948479145999999,0.5716589366,0.2114205223,0.9688926848999999,0.1201000045,0.0354200879,111.007,0.1926132843,2009.0,What I Know,85,127,Ed Askew,Folk,[17],Palomino,258.0,['Folk']
203,0.9927647775,0.5889867604,0.13791829460000002,0.0873760557,0.0957687898,0.05846397440000001,122.31,0.6310426834,2009.0,Blue Piano,84,127,Ed Askew,Folk,[17],Song For R,195.0,['Folk']
